shape_id,latitude,longitude,shape_pt_sequence,shape_dist_traveled
3S:767#23744#23777,-41.282046,174.752551,279,5782.195354478352
3S:767#23744#23777,-41.281924,174.752569,280,5795.836642631586
3S:767#23744#23777,-41.28182,174.752569,281,5807.394380169539
3S:767#23744#23777,-41.281698,174.752569,282,5820.95259088226
3S:767#23744#23777,-41.281614,174.752474,283,5833.203801196607
3S:767#23744#23777,-41.281569,174.75238,284,5842.510974931355
3S:767#23744#23777,-41.281543,174.75226,285,5852.941123698066
3S:767#23744#23777,-41.281506,174.752136,286,5864.083229489629
3S:767#23744#23777,-41.281372,174.751778,287,5897.4844899543605
3S:767#23744#23777,-41.281208,174.751564,288,5923.0104704601035
3S:767#23744#23777,-41.281111,174.751444,289,5937.729156921797
3S:767#23744#23777,-41.281039,174.751316,290,5951.0816266919555
3S:767#23744#23777,-41.280971,174.751178,291,5964.863421785332
3S:767#23744#23777,-41.280947,174.751083,292,5973.234061696151
3S:767#23744#23777,-41.280994,174.750935,293,5986.65244341862
3S:767#23744#23777,-41.281032,174.750836,294,5995.936373394954
3S:767#23744#23777,-41.281149,174.750622,295,6018.03763347267
3S:767#23744#23777,-41.2814076,174.7502842,296,6058.309101028752
3S:767#23744#23777,-41.28146038,174.7503247,297,6065.079735095476
3S:767#23744#23777,-41.2814076,174.7502842,298,6071.850369162201
3S:767#23744#23777,-41.281463,174.750212,299,6080.4674361820025
3S:767#23744#23777,-41.281474,174.750197,300,6082.216979109983
3S:767#23744#23777,-41.281563,174.750014,301,6100.421525053036
3S:767#23744#23777,-41.281691,174.749574,302,6139.824986247355
3S:767#23744#23777,-41.281744,174.74937,303,6157.851372299144
3S:767#23744#23777,-41.281763,174.748811,304,6204.583090080942
3S:767#23744#23777,-41.281773,174.748605,305,6221.822708165796
3S:767#23744#23777,-41.281783,174.748374,306,6241.14634260113
3S:767#23744#23777,-41.281796,174.74815,307,6259.909059971789
3S:767#23744#23777,-41.281813,174.74789,308,6281.704535379651
3S:767#23744#23777,-41.282151,174.7466,309,6395.797319526452
3S:767#23744#23777,-41.2822247,174.7463482,310,6418.364548424335
3S:767#23744#23777,-41.28224547522513,174.7463542967612,311,6420.729002834542
3S:767#23744#23777,-41.2822247,174.7463482,312,6423.0934572447495
3S:767#23744#23777,-41.28224,174.746296,313,6427.772606837876
3S:767#23744#23777,-41.282281,174.746153,314,6440.554627930351
3S:767#23744#23777,-41.282301,174.746083,315,6446.808947022692
3S:767#23744#23777,-41.282377,174.745823,316,6470.107137570038
3S:767#23744#23777,-41.28241,174.745711,317,6480.153464821345
3S:767#23744#23777,-41.282426,174.745657,318,6485.000826199507
3S:767#23744#23777,-41.282464,174.745528,319,6496.5717979409765
3S:767#23744#23777,-41.282504,174.745391,320,6508.846500530617
3S:767#23744#23777,-41.282619,174.744998,321,6544.067388281723
3S:767#23744#23777,-41.28267,174.744809,322,6560.837681543738
3S:767#23744#23777,-41.282833,174.744202,323,6614.668978002254
3S:767#23744#23777,-41.282886,174.744008,324,6631.907812758885
3S:767#23744#23777,-41.283452,174.74199,325,6811.79041619098
3S:767#23744#23777,-41.283516,174.741756,326,6832.585877682913
3S:767#23744#23777,-41.283599,174.74146,327,6858.969978673381
3S:767#23744#23777,-41.2837117,174.741058,328,6894.8015806369585
3S:767#23744#23777,-41.28376246,174.7410723,329,6900.568363379424
3S:767#23744#23777,-41.2837117,174.741058,330,6906.33514612189
3S:767#23744#23777,-41.283918,174.740323,331,6971.857668780245
3S:767#23744#23777,-41.284077,174.739756,332,7022.3977857761065
3S:767#23744#23777,-41.284132,174.739559,333,7039.9481878354045
